benchID,anoIdx,refIdx,MFP
100,1656,42479,2
100,1657,44471,3
100,1663,37275,2
100,1664,36500,2
100,1672,44756,1
100,1675,34992,1
100,1680,45419,1
100,1681,39222,1
100,1690,36702,2
100,1717,38993,1
100,1732,45649,2
100,1735,38126,2
100,1736,46242,2
100,1749,40593,1
100,1753,40956,1
100,1757,36853,1
100,1761,44682,2
100,1762,36054,1
100,1772,40612,1
100,1787,35178,2
100,1795,45837,1
100,1802,35560,3
100,1814,37525,2
100,1820,40671,2
100,1824,35131,1
100,1837,41449,4
100,1839,36978,2
100,1845,40986,1
100,1856,43130,1
100,1859,45421,1
100,1862,37290,2
100,1866,34974,1
100,1873,37850,1
100,1881,42960,2
100,1884,45406,2
100,1895,38667,1
100,1898,44637,2
100,1908,46254,1
100,1915,43822,1
100,1917,40926,2
100,1921,42001,3
100,1942,35832,2
100,1947,45260,2
100,1963,35162,2
100,1972,45360,2
100,1986,45752,1
100,2002,43296,1
100,2011,45103,1
100,2040,43476,3
100,2042,41936,2
100,2047,43504,3
100,2063,44200,1
100,2066,34987,2
100,2074,43257,1
100,2075,36983,3
100,2087,42437,1
100,2095,43448,1
100,2096,43254,3
100,2098,45414,2
100,2110,35057,3
100,2127,46012,2
100,2134,40832,1
100,2164,43745,1
100,2167,43782,4
100,2188,45183,1
100,2220,35725,2
100,2221,38047,1
100,2222,44407,1
100,2269,36214,3
100,2284,35196,2
100,2319,43376,1
100,2324,38980,1
100,2329,44161,2
100,2345,42797,3
100,2369,45784,2
100,2374,40824,2
100,2389,35381,2
100,2396,38999,1
100,2401,39804,1
100,2405,43273,2
100,2420,43995,1
100,2432,42249,2
100,2465,35204,1
100,2473,35743,2
100,2474,40743,2
100,2499,42237,2
100,2502,40997,2
100,2509,38666,1
100,2517,35715,1
100,2524,43459,2
100,2529,36911,2
100,2537,39080,3
100,2599,45171,2
100,2623,44712,2
100,2669,35337,1
100,2670,43269,1
100,2691,36466,1
100,2719,42286,2
100,2722,44174,1
100,2739,37929,2
100,2743,41906,1
100,2756,45429,3
100,2764,37787,1
100,2793,36691,1
100,2815,45642,1
100,2817,40566,2
100,2822,35944,3
100,2825,39701,1
100,2829,42831,2
100,2831,45288,2
100,2836,40707,1
100,2851,41046,2
100,2863,36394,1
100,2867,44883,2
100,2875,38654,2
100,2896,41126,2
100,2905,37984,2
100,2907,41196,3
100,2908,35188,3
